,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings2,ratings3,comment,helpful
10,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,나방,3,1,4,4,"출석체크는 거의 안하시지만 수업자료가 없어서 독강일 경우 꼭 가야하는 수업
난이도는 쉬웠어요",도움이 돼요 0
11,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,mvue,2,4,5,3,"교수님도 정말 좋으신 분이고 열심히 가르쳐 주시지만 강의 자료도 없고, 판서도 알아보기가 힘들어서 조금 힘들었습니다. 가급적이면 미리 가서 앞자리에 앉으세요. 그래도 성적은 후하게 주시는 편이니 부담갖지 않으셔도 됩니다",도움이 돼요 0
12,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,dongki,4,4,4,4,"갓성빈갓성빈갓성빈갓성빈

그저 빛을 따라가시오",도움이 돼요 0
13,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,EverY,4,5,3,4,타과생에게는 매우 힘든 수업이었습니다. 컴퓨터 언어에 대한 기초 지식은 이해하고 듣는 편이 좋을 것 같습니다. 교수님은 친절하시나 문과생에게는 설명을 이해하고 따라 가기가 쉽지 않았습니다.,도움이 돼요 0
14,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,스누피커피,4,4,3,3,"유명한 교수님의 영강...
필기 많이하고 수업때 잘 들었지만
가장 중요한건 역시 리뷰였다",도움이 돼요 0
15,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,가짐어서,3,3,5,4,"수업 열심히 들으면 시험도 무난하고 학점도 잘주심
영강이고 교수님의 발음이 구수하지만 어느 순간 익숙해져서 괜찮음",도움이 돼요 0
16,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,하늘에서에이쁠이,1,1,5,1,배운건 없는 것 같지만 학점이 남아요!,도움이 돼요 0
17,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,xxdgxx,3,3,4,5,아주 좋은 수업이에요. 교수님은 설명을 아주 잘 하세요. 시험은 쉬웠지만 자세한 답을 써야 해요.,도움이 돼요 0
18,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,게슈탈트붕괴,3,3,4,3,학점을 잘 주신다. 수업만 열심히 듣고 시험기간에 적당히만 공부해도 B+은 받을 수 있다. 실기가 아닌 이론위주의 알고리즘 수업이라 자료구조 수업을 안들었거나 코딩에 익숙하지 않다면 박성빈 교수님의 알고리즘을 추천한다.,도움이 돼요 0
19,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,밍밍이긔,3,2,5,2,"강의력이 좋다고 볼 순 없을 것 같습니다. 이에 대한 이유는 전문용어나 개념에 대한 명확한 정의를 안해주십니다. 항상 다양한 관점에서 해석할 수 있도록 가능성을 열어두십니다. 이게 나쁜건 아니지만 공부하는 학생 입장에서는 해석하기가 정말 곤란합니다. 수업 들으면서도 괴로웠네요. 

그렇지만 수업 준비도 열심히 하시고 학생들을 위해서 열심히 노력하시는 모습은 상당히 좋습니다. 질문도 늦게까지 받아주시고 친절하게 알려주시려고 최선을 다하십니다.

성적은 후하게 줍니다. 족보가 중요하대서 몇개 구하긴했는데 별 의미 없었네요(수업하시는 학기마다 조금 편차가 심한듯?). 중간, 기말 최선을 다해서 썼다 싶으면 A+기대해도 좋을 것 같습니다. +비율도 상당히 많습니다. 

수업 내용 자체는 조금 어려운 편입니다. 다만 평가방식 덕분에 수업 난이도 자체는 상당히 쉽게 느껴집니다. 참고하세요.",도움이 돼요 0
20,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,으아아어어,2,1,5,2,"""본인이 알고리즘을 공부한 경험이 있어서 강의에서 배울게 없다 OR 나는 강의에서 꿀을 빨 것이다. OR 코딩을 못해먹겠다"" 라는 분들 에게 제격입니다. 과제는 그냥 질문 몇개 열심히 답해서 A4 1, 2페이지 정도 써오는거 2번정도 밖에 안시켜서 사실 상 없다고 봐도 되고, 출석체크도 없습니다. 강의 내용은 Introduction to Algorithms의 내용을 다루며, 의사코드까지 배우는 정도로 따지면 그냥 기본 Sorting이랑 Greedy, DP정도만 하고 끝납니다. 이외의 내용은 하이퍼텍스트에서도 다룬 전례가 있던 P, NP개념이 나오고 Reducibility를 알고리즘에 접목하여 설명합니다(ex: 유명한거로 이분매칭이 Flow의 특수한 경우라는걸 Reduce해서 증명하는 정도?). 암기만해가면 성적이 오르니 전날에 열심히 봐둡시다. 그리고 본인이 잘한다고 해서 방심하지 말고 꼭 공부해가는걸 추천합니다.
학점은 갓성빈 교수님답게 엄청 잘 줍니다. 역시 갓성빈 교수님 답게 질문도 잘 받아주시고 내용 중복이나 난이도가 너무 쉽다는 것을 제외하면 되게 좋은 강의 같습니다.",도움이 돼요 0
21,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,앙꿀강띠,3,3,5,3,암기 위주의 수업입니다. 학점은 매우 잘 주십니다.,도움이 돼요 0
22,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,김육팔,4,4,5,5,"킹성빈... 설명이 더 필요합니까?
출석체크는 학기 초에 몇 번 하시고 그 이후로 안 하셨습니다.
수업은 복습을 안 하시면 쫓아가기 힘들 수 있습니다.
시험은 수업하신 부분이랑 과제 내주신 부분에서만 나오고 4 - 5문제가 서술형으로 나옵니다.
수업 필기 열심히 하시고 책 열심히 보면 학점 잘 받으실 수 있습니다.",도움이 돼요 0
23,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,diffusion,1,1,5,2,"내용이 타 알고리즘 분반에 비해 쉽고 학점 잘줍니다. 알고리즘이라는 개념에 대해 이론적으로 접근하는 강의로, 만약 코딩테스트와 같이 취업에 도움되는 강의를 찾으신다면 비추입니다.",도움이 돼요 0
24,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,명이나물,2,1,2,3,비전공자를 위한 강의라서 전공자한테는 쉽지만 시험때 엄청 자세하게 안적으면 학점 안줍니다.,도움이 돼요 0
25,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,슈카팬123,3,3,5,5,"킹갓빛의 학생에 대한 배려와 수업에 대한 열의는 너무 유명해서 말할게 없고, 다만 아쉬운점은 이산수학 내용이 후반에 조금 있어서, 다른 알고리즘적 내용에 대한 소개를 하시는게 개인적으로 더 좋았을거 같다는 생각이 들었고, 시험 볼때 관리 감독을 좀더 철저히 하셨으면 좋겠다는 생각이들었습니다. 그 외는 모두 만족스러웠습니다. 시험은 4~5문제 정도 개념적인 내용을 묻는 문제가 대부분입니다.",도움이 돼요 0
26,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,삶의의지,3,4,4,3,"몇몇 알고리즘들에 대해 배웁니다. 
코딩은 하지 않고 이론으로만 수업하시는데, 호불호가 갈릴 것 같습니다. 몸은 편하지만 남는 게 많진 않았습니다.
시험 문제는 적은 수의 서술형 문제로 출제됩니다. 수업 중에 설명하신 증명을 통째로 적어야 하는 등의 문제가 있었습니다.
재수강해야 하는데 이번에는 다른 교수님 수업으로 들을까 합니다.",도움이 돼요 0
27,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,나야나인걸,4,5,5,5,문과 학생인데 독강으로 듣게 되어서 걱정이 많았지만 성적 좋게 받았습니다. 수업 매번 가서 열심히 듣고 교수님이 질문도 잘 받아주시고 따로 정리하는 시간도 마련해주시기 때문에 꼬박꼬박 성실하게 한다면 좋은 성적 받을 수 있습니다. 공부하는 데 쉽지는 않았지만 열심히 공부하면 그만큼 얻어가는 것도 많고 성적도 잘 받을 수 있는 수업입니다.,도움이 돼요 0
28,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,소쉬르는소소데스네,3,4,5,4,"찬양하라 갓성빈

1. 출석체크: 진짜 가아끔 합니다. 2번 정도 한 것 같습니다. 근데 학점에 별 영향을 미치지 않는 것 같습니다.

2. 난이도: 문과생이 처음 들으면 당황스러우나 수업 잘듣고, 새벽 2시까지 메일을 받아주시는 교수님께 질문하면서 하면 조금 어려운 정도 입니다. 이산수학을 들으셨다면 익숙한 개념이 많이 보일 것 입니다.

3. 학습량: 많은 편은 아닙니다. 중심 개념을 시험당 10~13 개념을 배웁니다. 거의 개념을 그대로 쓰는 문제 4문제 + 아이큐 문제 냅니다.

4. 학점: 킹성빈

5. 성취감: 프로그래밍이랑 같이 안해서 성취감은 좀 떨어지는 편입니다.",도움이 돼요 0
29,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,너무추워,4,3,4,5,"교수님 발음이 맨 처음엔 적응이 안될수도 있지만 나중에는 괜찮아요 ㅋㅋ
그런데 모든 강의를 판서로 진행하시기 때문에 출석은 잘 안하시지만 무조건 안빠지는게 좋아요
시험은 수업시간에 한 내용은 덩어리로 적는??그런 문제가 나와서 수업시간에 한거 잘 외우면 잘볼수 있는 시험에요
교수님 친절하시고 학생들 질문도 다 받아주세욥 보강도 다 채워서 해주시고 좋습니다
이번학기는 이메일로만 소통하셔서 질문하셨을때 답을 좀 늦게 받을수는 있지만 그래도 다 답장 해주세요
기말고사 부분이 어려워서 기말고사 괜찮게 보면 학점은 잘 주시는 거 같아요!",도움이 돼요 0
30,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,쿄주로,2,3,3,4,"학점 잘주신다해서 들었는데 막 잘주는건 아닌듯하다.
수업내용 따라가기 첨엔 힘든데 나중에는 그냥 그랬음
교수님 친절하시고 열정 넘치심. 약간 워커홀릭 같아요.
중간은 쉬웠는데 기말은 어려움. 기말 잘보려고 하면 책내용 다 봐야할 것 같아요.",도움이 돼요 0
31,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,KOREAUN,3,3,5,5,역시 컴퓨터학과의 천사 갓성빈입니다. 꼭 들어보세요!!,도움이 돼요 0
32,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),1,쥬리,4,3,4,5,"저는 타과생이라 처음 알고리즘을 접했을때 상당히 따라가는데 힘들었습니다. 한국어라면 모를까 처음부터 아예 모르는 내용을 영어로 배우고, 교수님이 의식의 흐름대로 필기를 하고, 심지어 제가 1학기 자료구조 수업을 듣지 않아 더욱 따라가기 힘들었던것 같습니다. 그러나 교수님의 친절한 설명과 질문 받기, 메일로 강의 내용을 정리해서 보내주신 것 덕분에 차차 따라가기 시작했습니다. 물론 이에는 저의 피나는 노력이 받침되었겠지만, 타과생인 저도 최종적으로 A+을 받을 수 있었습니다. 중간기말 문제는 서술형으로 5~6문제에 불과하지만, 본인이 얼마나 내용을 잘 이해하고 있었는지, 질문이 바라는 답을 얼마나 정확하게 쓰는지가 채점 포인트였던 것 같습니다.",도움이 돼요 0
33,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,235졸업하자,4,3,5,4,"출석은 거의 성적에 거의 반영되지 않습니다. 중간중간 과제를 내주시는데 시험과 밀접한 관련이 있는 것들을 주로 내주시기 때문에 부담없이 공부한다는 마음으로 하시면 될 것 같습니다. 내용은 어려워하는 분들이 있고, 그렇지 않은 분들이 있는 것 같습니다. 그래도 수업 열심히 듣고 공부하면 학점도 잘 주시고 배우는 것도 많아서 좋은 강의라고 생각합니다.",도움이 돼요 0
34,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,엠제이4,4,3,4,3,타과라서 엄청 힘들었고 시험 문제 문항 수가 줄어서 (중간 4 기말 5) 더욱 당황했지만 교수님이 너그럽습니다 ㅠㅠ 컴과 천사세요! 보강 3시간 해본거 처음이에요... 중간은 sorting 기말부터 어려워져요,도움이 돼요 0
35,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,ttttllll,3,2,4,4,교수님이 정말 친절하시고 열정 넘치십니다. 시험 공부하기도 어렵지 않고 문제도 쉽게 나옵니다. 기말 때 공부를 안해서 좋은 학점은 아니었지만 외울 것 외우면 잘 나오는 것 같습니다.,도움이 돼요 0
36,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,먕먕,3,2,4,3,"갓성빈 빛성빈
이런 교수님 또 안 계십니다 ㅠㅠ
누구에게나 추천하는 강의",도움이 돼요 0
37,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,SeaweedAshes,1,1,5,2,"출석은 미리 공지를 하신 날에만 하고
난이도는 쉬웠으며 학습량은 강의 중에 질문이 많기에 많지는 않았습니다.
학점은 잘 주시는 편이고 성취감은 들은 사람에 따라 다를 것 같습니다.",도움이 돼요 0
38,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,1교시듣지마세요,3,3,4,3,"교수님께서 판서로 수업하시기 때문에 무조건 앞에 앉을 수록 좋습니다. 멀리 있으면 글씨가 잘 안보여요 ㅠㅠ....
질문하시면 항상 친절하게 답해주시기 때문에 모르는 부분은 손들고 편하게 물어보시면 됩니다!
그리고 시험 직전에 리뷰시간이 있는데 그 시간이 필참은 아니지만 가는 것을 추천드립니다.
리뷰시간에 가셔서 직접 모르는 부분을 질문하셔도 되지만, 그 시간에 다른 학우분들이 한 질문에 대한 교수님 설명을 듣다보면 잘 몰랐던 부분이나, 수업시간에 놓쳤던 부분들을 알게 되더라구요. 저는 시험공부하는데 리뷰시간이 큰 도움이 되었어요.
출석체크는 거의 한학기에 시험때 출석부르는거 빼면 두번 정도 부르시는 것 같고
과제는 3~4번 정도 있었는데 오래 걸리는 과제는 아니에요

장점은 수업을 열심히 들고 필기 잘하면 성적은 아주 잘나옵니다. 
단점은 매일 수업을 놓치지 않고 열심히 들어야한다는 점.",도움이 돼요 0
39,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,sczcas,3,3,1,3,분명히 난 시험 답을 다 알았고 다 썼는데 비쁠나옴..아마 출첵했나봄. 난 수업한번도 안가서 출첵했는지 안했는지도 모름,도움이 돼요 0
40,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,j_park2000,1,1,1,1,설명하는게 조금 알아듣기 힘들어요...,도움이 돼요 0
41,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,사용할수없는닉네임,2,3,5,5,"박성빈 교수님 강의는 무조건 옳아요
학점 퍼주시는걸로 많이 부각되시지만 개인적으로 강의 내용과 
세세하게 정의해가며 설명해주시는 부분 또한 훌륭한 강의라고 생각됩니다.",도움이 돼요 0
42,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,젭알,3,1,4,5,"그냥 갓성빈
믿고보는 갓성빈 교수님
예전에 들었지만 당연 최고입니다",도움이 돼요 0
43,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),2,푸들,3,2,3,2,박성빈 교수님 수업을 처음 들어봤는데 기대치가 너무 높아서 그런가 생각했던 거랑 많이 달랐다. 일단 판서를 정신 없이 여기저기 하셔서 알아보기가 힘들다ㅠㅠㅠ진도도 어느날은 이 챕터를 나갔다가 어느 날은 마지막 챕터를 나가고 해서 뭘 배우는건지 이해하기가 힘들었고 책을 참고하기도 빈 부분이 많았다. 그래도 양은 적고 엄청 쉬운 편이다. 실습도 같이 병행을 했으면 훨씬 이해도가 올라갔을 것 같은데 중요한 과목을 너무 얕게 훑은 것 같아 많이 아쉽다.,도움이 돼요 0
44,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,zzx1003,3,3,4,4,교수님이 완전 친절하고 학점도 잘 주시고 추천합니다.,도움이 돼요 0
45,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,일종1,5,4,3,3,"알고리즘을 정말 잘 알려주십니다.
영어로 진행하시는데 코딩을 통한 컴퓨터 학과 알고리즘의 개념이 아니라 정말 학문으로서
알고리즘을 접근하시기 때문에 유의하셔야 합니다.
알고리즘의 근본을 배운다고 생각하시면 됩니다. 
중간 기말 시험 전부다 보시고 가끔씩 한번 출석체크 하십니다.
추천드립니다.",도움이 돼요 0
46,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,kody21c,5,5,5,5,수업 내용도 관심도 좋습니다 교수님도 좋고 집중하기엔 강의실이 넓어 힘듬이 있습니다.,도움이 돼요 0
47,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,drew,4,4,4,4,필기가 매우 많은 수업입니다. 자습이 많이 필요합니다.,도움이 돼요 0
48,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),1,설치,4,3,5,5,"갓성빈교수님은 
영어를 정말 잘하십니다.
영강인데도 불구하고 한국어로 수업듣는 느낌이랄까..
또한 
출석은 거의 안하시며, 첫수업에만 한 것으로 기억해요.
학습량이 꽤 많으며, 교수님이 어쩔때는 강의가 다른 방향으로 이리저리 뻗어나갈 때도 있어서
나중에 정리할때 힘들수도 있습니다.
하지만 배운 것이 많은 아주 훌륭한 강의였습니다.
가장 중요한 학점.
학점 폭격기십니다. 외쳐요 갓성빈.",도움이 돼요 0
49,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,동그나비,3,4,5,4,"진짜 박성빈 교수님은 갓입니다.
비전공생이라 따라가기가 어려웠어요.
하지만 교수님께서 진짜 열정적으로 강의해주시고 따로 질문도 매우매우 잘 받아주셔서 정말 은혜로운 강의였습니다.
저한텐 쉽지 않았고 시험도 막 그렇게 잘 본 것 같진 않지만 
교수님께서 제가 열심히 했다고 생각해주셨는지 학점은 잘 나왔어요!
비전공생이라도 갓성빈 교수님과 함께 열심히 달려가면 좋은 결과가 있을 수업이었습니다!",도움이 돼요 0
50,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,어버버버,3,3,4,3,"영강이지만, 영어는 별로 문제되지 않습니다.
수업내용은 조금 까다로울 수 있으나
질문을 하면 교수님께서 친절하게 설명해주십니다.",도움이 돼요 0
51,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,누삐,3,4,5,5,진짜 최고의 교수님! 학생들의 학업적인 질문과 성적 관련 질문을 전부 답변해주십니다! 수업시간에도 계속 질문 없는지 물어보시고 질문에 다 정확히 답변해 주십니다!! 성적도 잘 주세요!! 수업 시간에 열심히 듣고 잘 이해하고 외우면 잘 볼 수 있어요! 가르쳐 주신 내용만 다 숙지하면 돼요~~,도움이 돼요 0
52,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,에이쁠 받고싶다,2,3,2,2,교수님이 정말 친절하십니다 학점도 나쁘지 않게 주시는 것같아요,도움이 돼요 0
53,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,hism1125,3,4,5,2,"갓성빈 교수님....
수업 내용이 매번 비슷하지만 열심히 들으면 나름 얻어가는 것도 많은 수업입니다.
무엇보다 교수님이 너무 착하시고 질문도 잘 받아주셔요",도움이 돼요 0
54,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,ㅂ니둘,3,3,4,3,"알고리즘 관련해 공부를 했었다면 알고 있었을 내용을 배우긴 했지만, 공부하지 않았던 사람들도 이해하기 쉽게 여러번 반복해서, 많이 풀어서 설명을 해주셨기 때문에 많은 사람들이 이해할 수 있었을 것 같습니다. 학점도 잘 주셔서 A+ 나왔습니다.",도움이 돼요 0
55,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),1,ㅗ모모몸,1,1,1,1,알고리즘 수업인데 뭔가 남는건 없고 이론적인것만 배운다. 이런게 좋으면 들으세여,도움이 돼요 0
56,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,구너구니,4,3,5,4,유하시고 열정적으로 가르쳐주십니다. 성적도 잘 주십니다. 다만 수업이 조금 졸립긴 한데 꾹 참고 잘 들으시면 A+ 받을 수 있습니다!,도움이 돼요 0
57,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,레리임크,4,3,4,3,"기말을 다 버렸는데도 예상보다 학점이 잘나와서 놀랐음... 쁠몰이라는 얘기도 있어서 자기가 예상한 학점에 + 붙인다고 생각하시면 될거같습니다. 다만 이 교수님의 이산수학과 같이 들었는데, 자료가 겹치는 부분이 있어서 가끔 어떤 수업을 듣는지 헷갈릴 정도입니다.",도움이 돼요 0
