,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings4,ratings3,comment,helpful,ratings2
20,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),4,비자더,4,3,4,4,"정환 교수님의 강의를 수차례 들었으나 개인적으로 가장 만족스러웠던 강의가 다변량 통계분석입니다.
수업의 난이도도 적당한 수준을 유지하여 학생에게 성취감을 느낄 수 있게 하고
동시에 교수님의 강의력 역시 괜찮아 편안하게 들을 수 있었습니다.
과제는 4차례로 과도한 편은 결코 아니었고, 코드는 이미 제공되어 있어서 실제 코딩을 해야 하는 경우는 극히 적었습니다.
그보다는 결과 해석에 초점이 맞춰져 있었습니다.
중간과 기말 모두 시험의 난이도는 꽤 높아 변별력이 있었습니다.
전반적으로 만족스러웠습니다.이 강의를 추천!",도움이 돼요 0,3.0
21,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),3,후절수,4,4,4,4,선대 기초지식이 없어서 매우 힘들었습니다. 교수님께서 친절하게 학생들을 배려해주시고 다양한 노력을  기하시지만 영강이라 이해에도 어려움이 있었습니다.,도움이 돼요 0,3.0
22,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),3,안암동팩사장,5,4,2,3,"정환 교수님이 근래에 들어 엄청 바뀌었다고 말하고 약간의 걱정과 함께 신청했지만... 속은 느낌 ㅜ
타 교수님들이 진행하시는 다변량에 비해 다루는 범위도 넓고 난이도도 높다.이 강의를 추천!",도움이 돼요 0,1.0
23,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),4,룰루누,4,4,4,4,"출석자율화 수업이었고 줌으로 진행되었습니다. 대신 고대인클래스 앱으로 수업시간마다 출첵을 해야 했습니다.
다변량 공부하면서 굉장히 공부하기 애매(?)하다고 생각했습니다. 당장 배우는 내용이 이해는 되는데 그래서 이 개념이 왜 필요한지, 어디에 쓰이는지를 제대로 파악하는 것이 중요해서 수업을 따라가되 큰 그림을 보면서 공부해야 했습니다.
영강이다 보니 어려운 개념은 설명을 들어도 헷갈릴 때가 있었는데 교수님께서 수업 끝나기 10-15분 전에 오늘 공부한 내용을 한국말로 정리해주셔서 좋았습니다.
과제는 4~5번 정도 있었는데 한 단원이 끝날 때마다 교수님께서 연습문제를 3~4개 주시고 저희가 R를 이용해서 이 문제들에 대한 코드와 결과값을 제출하는 형식이었습니다. 다변량 개념들에 대한 R코드는 한 번도 접해본 적이 없어서 걱정했는데 교수님께서 R코드 파일을 거의 다 올려주셔서 사실 과제 부담은 없었습니다. 스스로 해결해야 되는 부분도 있었지만 기본적인 코드는 다 제공되었습니다. 과제는 웬만해서는 거의 감점이 없었습니다.
중간/기말은 대면으로 치렀는데 둘 다 어느 정도 난이도가 있어 적당히 변별력있게 출제되었습니다. 못 풀 정도로 어렵지는 않았으나 꼼꼼하게 공부하지 않거나 아까 말한대로 수업 내용을 제대로 이해하지 못하면 풀기 어려운 문제들도 있었습니다. 
학점은 A+는 많이 주시지 않는 것 같고 과제보다는 중간/기말로 결정되는 것 같습니다.이 강의를 추천!",도움이 돼요 0,3.0
24,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),4,equis,4,4,3,4,"다변량통계분석은 통계전공 전공필수 과목으로 다수의 통계학과 학생들이 수강합니다.
타과생들에게는 추천하지 않습니다. 다만 강의에서 배우는 내용이 실용적이고 흥미로운 부분이 많이 추천드립니다.이 강의를 추천!",도움이 돼요 0,3.0
25,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),3,생갈치1호,3,3,3,3,"이번학기 들었던 강의 중에서 가장 만족스러웠던 강의입니다. 이번학기 수강한 것들중에 그나마 가장 이해한 과목이라 생각했는데 학점은 살짝 아쉬움이 남네요, 이 강의 수강하기 전에 클루에서 Q3 깔짝 넘긴걸론 A+안주신다고 봤던 것 같은데 딱 그런 것 같아요. 성적 관련해서는, 중간고사는 Q3보다 약간 높았고 기말고사 Q3 깔짝 넘겼는데 A였습니다.

과제가 단원 끝날때마다 있는데 코드 다 올려주셔서 너무 좋으시구요, 설명도 잘해주시고 중간중간에 한국어로 랩업해주시기도 하셔서 이해가 잘 됩니다. 또 중간/기말 전에 진도 다 끝나고 이전년도 기출풀이도 해주셔서 좋았어요.

개인적으로는 오랜만에 복학해서 들었던 강의인데 완전 기초부터 (ex.공분산 행렬, R코딩) 설명해주셔서 너무 감사히 잘 들었습니다. 이론 진도 나가고 R코딩도 같이 돌리는거 보여주시면서 이 코드 라인이 무슨 내용에 대응되는지 짚어주시는 등 진짜 잘 설명해주십니다!! 학수번호 대비 부담없이 들을 수 있는 과목인 것 같아요, 선수강과목 딱히 없는 상태였어도 무리없을 것 같은 느낌이기도 했습니다.

비대면 무출석이었는데 교육부 감사 관련해서 인클래스 어플을 해야 해서 좀 귀찮긴 했습니다만, 출석 반영은 안하셨던 것 같아요. 비대면 기준 줌/캠 안킴/마이크 끔 이었습니다.",도움이 돼요 0,3.0
26,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),4,수면모자,4,4,2,4,"시험 문제도 다 제공해주시고, 과제도 그럭저럭 할만한 강의였습니다.
다만 영강 이해하는게 너무 어렵네요..이 강의를 추천!",도움이 돼요 0,3.0
27,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),4,sdfss,4,4,4,4,수업을 들을 때는 이해가 잘 안 갔는데 막상 시험기간에 공부하면 공부할 양이 그렇게 많지는 않아요. 교수님이 중간중간에 한국어로 요약도 해 주십니다.이 강의를 추천!,도움이 돼요 0,3.0
28,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),5,원디렉션,4,3,5,5,"통계 (고학번 안할겁니다,,ㅠㅠ) 전필이기 때문에 들었긴 하지만, 3개 전필 중에서 가장 할만 하고 살만 했던 강의입니다. 

강의 전반 

초반에 공분산 매트릭스의 향연과 플랏 배우다가 행렬 배우고, pca, fa, clustering, discrimination 배우고 끝났습니다. 
교수님이 말씀 하실때, 빙빙 에두른다는 느낌이 있담 그 부분 위주로 공부하세요! 그거에 대한 질문이 시험에 무조건 나옵니다. 
저는 선형대수 1,2  듣고 행렬 안듣고 수업 들었는데 무난히 행렬부분 지나갔습니다. 행렬 안듣거나 선대 2 안들으면 좀 버벅일 수 있을 것 같은데, 증명을 깊게 들어가지는 않으셔서 가볍게 바로바로 공부하고 지나가셔도 무방하지 않을 까 싶습니다. 
교수님이 영어를 못하시는 건 아닌데, 생데과 동시 수강한 바로는 교수님께서도 한국어를 쓰실 때 편하게 수업하시는 것 같아서 국강이 교수님과 학생 다 편리한 길이 아닐까 싶어요,,?
출석은 체크는 하는데 성적엔 안들어가고..? 1/3 이상 안들으면 자동 F 였던걸로 기억합니다. 또, 과제는 내기만 하면 만점이라ㅠㅠㅠㅠ 정말 한학기 행복하게 살았습니다,, 

시험 관련

송주원 교수님 강의 처음 듣는 분이시라면, 꼭 sample exam 숙지 잘 하셔서 교수님만의 스타일에 맞춰서 시험공부하시길 바랍니당. 
교재는 2권이 있는데 중간때는 그거 연습문제까지 풀 정신이 있었는데 기말에는 없어서 샘플 문제로만 연습하고 들어갔는데 기말을 더 잘 쳐서 굳이 교재로 연습문제까지 다 풀 필요는 없는 것 같습니다!
교수님 그래프 그리는것, 해석하는것, 비판하는 것, 모델 적기, 그 모델의 가정 싹 다 적기 정말로 중요하게 생각하시니 시험 푸시는거 대비하기 위해서는 뭐 두 기법의 차이, 그림 그릴 수 있겠다 싶은거 위주로 정리해서 시험 치시면 잘 치실 수 있을 것이라고 생각합니다. 
중간 끝나고 시험지 확인하면 기말에 똑같은 실수 안할 수 있어요. 시험이 어려운 건 아니고 타임어택인데 채점은 아주 빡빡하게 하기 때문에, (뭐 예를 들면 과정에서 그루핑 이미 되었는데 결론에 그거 명시 안하면 감점, fa 나 pca 그루핑 된 것 이름 나름 안붙이면 그것도 감점 자잘하게 여기서 까인다고? 싶은 부분까지 까이니까 세세히 적으세용. 근데 다 적으려면 시간이 부족해서,, 나름 딜레마입니다.) 그리고 무조건 시험 직전 조교님 T/A 참여하세요!!!! 정말 피가 되고 살이 됩니당. 답은 안알려주지만 채점기준은 알려주셔서 공부 방향 잡기 좋아요. 

중간고사는 복기한게 있는데 4문제 빈칸 크게 5문제에 각 4~5개 꼬리 문제가 있던 걸로 기억하구요, cov(x) e(x) 구하는 것, pc score 계산하고 이거 해석하는거 그래프 설명 증명 방법, pca 설정 기준 3개 fa는 크게 10점짜리로 모델링 하는거 나왔구요, matrix 계산도 나왔습니다. 

기말부분은 샘플 문제 정리한게 남아있어서 간략히 몇가지 적어보자면, 
T/F 문제의 경우 기본적으로 F 라는 전제 하에, 틀릴법한 단어 찾는게 안전합니다. population, observation 이런 단어들 조심하시구요 조건이 붙어야 참인 명제도 조심하시구요
고유명사들이 주로, 빈칸에 출제 됩니다 뭐 heywood cases k-mean은 뭘 하려는 건지 (이때 tr(W)만 적으면 안되고 W가 상징하는게 뭔지까지 적어줘야 합니다) 그리고 문제 영어여서 꼼꼼히 읽으셔야 해요!
PCA 경우에는 갯수 정하는 기준 3가지 중간에도 나오고 기말에도 나왔습니다 무조건 암기하세요!
또, interpret가 핵심입니다! (rotation 각도까지는 이번에는 안나왔습니다)
클러스터링의 경우,, 7개는 좀 과하다고 생각했는데 시험에 complete single linkage 두가지 방법 다 쓰는 7개 클러스터링 나와서 시간이 난리난리,, 여튼 3가지 방법 중에 2~3개 나올텐데, 계산 다 하고 각 방법의 장단점 비교해서 어느 방법을 쓰는게 좋은지 까지도 적어야 해요!
similarities 사용하는 클러스터링의 경우 dissimilarities 행렬로 나오면 1 - dis 쓰거나, complete 이나 single의 해석 방향 잘 고려 하셔서 푸시면 됩니다! (전자의 경우 조교님 추천 방법이고 후자는 교수님 추천 방법인데 결과값만 맞으면 되니깐요!)
 dendrogram 이런거도 무조건이구요.. K-mean도 초기 클러스터링 다르게 해서 문풀 시키고, 결과 토론 시키는 것도 나올겁니다. 
기본적으로 2,3차원이면 그림 그리고 시작한다고 생각하시구요 공식이 있는 문제면 공식이라도 초반에 적고 풀면 실수하는 것도 막고 부분점수도 가져갈 수 있습니다! 
discrimination의 경우 파이1파이2 주어지는 문제인지 아닌지 꼼꼼히 보시구요 
증명문제도 한문제씩 꼭 나오니까 증명 있는거 잘 외우시면 됩니다. 

도움이 되셨길 바라면서..! 마무리 하겠습니다. 

무조건 가능하면 발표도 하세요! 중간 미디언 기말 Q3+10 하고 발표 가산점 받았더니 에제 받았습니다!
송주원 교수님 담학기에 사과데 안여시면 또 들을 정도로 교수님 너무 너무 너무 좋으신 분입니다ㅠㅠㅠㅠ 들으실 수 있을 때 꼭 들으세용이 강의를 추천!",도움이 돼요 2,5.0
29,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),4,아포가도,4,4,4,5,"통과생이지만... 예전부터 정말 정말 걱정되고 두려웠던 다변량 수업을 드디어 듣게 되었습니다.
결과부터 말하자면 송주원교수님의 다변량 수업을 듣길 정말 잘했다고 생각합니다. 혹시 다변량이 걱정되시는 분들은 꼭 송주원교수님 강의를 들으시기 바랍니다!

전 선대1까지만 들었었고, 2는 어려워서 드랍했었기 때문에 다변량을 듣기 전에 간단히 eigenvalue와 eigenvector 구하는 법, linearly independent 등 간단한 행렬이론 개념 정도만 익히고 들었는데 훨씬 수월했습니다.
혹시 저처럼 다변량 듣기 전에 행렬 때문에 걱정되시는 분들은 이 정도 수준까지만 공부하심 될 것 같습니다.
학기 초반에 교수님께서 앞으로의 개념들에 필요한 행렬 개념들을 따로 한 단원으로 빼서 설명해주시고 중간고사 시험 문제로도 출제되기 때문에, 너무 과하게 복습할 필요도 없습니다.
다만 행렬 수업이 아니기 때문에 빠르고 훑게 넘어가셔서 기본 개념 정도만 무조건 복습하시고 들으시는거 추천드립니다.

이번 학기에는 온라인으로 진행이 됐고, 출석 점수는 대략 38번 정도의 강의 중 30번 이상만 출석하면 모두 만점 주신다고 하셨습니다.
과제는 이번 학기에 진도가 좀 느려서 5개밖에 못 내셨는데, 원래는 6-7번 정도 내신다고 합니다.
특히 중요한건 교수님께서 '과제 제출만 하면(모든 문제를 어떻게든 풀어서 내면)' 만점을 주시는데, 이게 정말 유용했고 어려운 단원이 나올때 스트레스도 훨씬 줄여줬습니다.
과제 난이도는 수업을 열심히 들으면 풀수 있는 정도의 수준이고, 시험 대비도 되기 때문에 꼭 직접 다 푸시는걸 추천드립니다.
다만 교수님께서 뒤로 갈수록 과제에 수업 시간에 전혀 언급하지 않으시고, 강의자료에도 안나와있는 내용을 뜬금없이 한두문제씩 내셨는데 그래도 구글로 서치하면 풀수있는 수준의 내용이니 너무 걱정하지 않으셔도 됩니다.(시험에도 안나옵니다.)

시험은 closed-book이었고, 중간은 기말보단 어려웠고, 중간기말 모두 타임어택 형식이었습니다.
저는 타임어택 형식의 시험이 잘 안 맞는 타입이라 중간고사때 eigenvector 구하느라 시간을 다 뺏겨서 4-5문제를 못 풀었음에도 불구하고 다들 어려워했기 때문에 성적은 무난하게 받은 것 같습니다.
시험 난이도 자체는 수업 열심히 듣고 과제 열심히 풀면 충분히 풀수있을만한 난이도기 때문에, 난이도는 걱정하지 않으셔도 되고 그것보단 데이터가 주어졌을때 계산을 빨리빨리 하는걸 연습하시면 좋을 것 같습니다.
그리고 난이도가 높지 않은만큼 교수님께서 시험범위 처음부터 끝까지 모든 부분에 대한 문제를 다 내시기 때문에 한 부분만 깊게 파시는것보단 시험범위의 핵심내용들 위주로 쭉 훑으시는걸 추천합니다.

수업내용 중에선 PCA, FA가 정말 어려운 편에 속합니다. 어떤 분들은 FA가 PCA보다 어렵다고 하시던데 전 PCA보다 FA가 이해하기
정말 어려웠던것 같습니다. 그후로는 다른분들 말씀처럼 난이도가 점점 내려가서 공부하기 훨씬 쉽기 때문에 중간고사때 성적 조금
못받으셨더라도 포기하지 않고 끝까지 달리시면 좋은 성적 받으실겁니다.

무엇보다 교수님께서 정말 강의력이 좋으시고 자세하게 잘 가르쳐주시기 때문에, 꼼꼼하게 차근차근 공부하시는거 좋아하는 분들에게 아주 적합한 강의입니다!
마지막으로 전 기말때 Q1 받고 optional 발표를 하지 않았는데도 성적은 무난하게 잘 주셨습니다. 발표를 하면 더 잘 주시겠지만, 안한다고 해서 더 엄격하게 주시진 않는거 같습니다. 이 강의를 들을 분들께 도움이 되길 바랍니다!이 강의를 추천!",도움이 돼요 1,5.0
30,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),4,얌냠al,4,4,3,4,"송주원 교수님 영어 발음이 듣기가 어렵다는 단점이 있습니다. 유창하지 않으셔서 발음이 좋지 않으신데, 한 번씩 버벅거리기까지 하시니 알아듣기가 힘들었습니다. 그래도 수업은 열심히 해주시고, 결과적으로 학점을 잘 받아서 미화된 것 같습니다 ◡̈",도움이 돼요 1,5.0
31,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),4,조니조니,4,4,4,3,"중간고사까지는 PCA, Matrix Algebra 등을 다루며 기말고사까지는 Factor Analysis, Cluster Analysis, LDA, QDA 등을 다룹니다. 
소위 머신러닝을 접해봤다면 한 번쯤은 들어봤을 내용들인데, 이를 수식을 통해 직접 증명하는 것이 약간 까다로웠습니다.
수업 중간에 발표하는 것이 있는데, 본인이 직접 데이터를 가지고 수업 때 배운 이론을 통해 분석하고 5분 내외로 발표하면 됩니다. 
시험에서 10~15점 정도를 만회할 수 있는 기회이니 웬만하면 참여하면 좋을 것 같습니다.
시험은 기출에서 대부분 응용이 되는 것 같습니다. 에타나 고파스 등으로 같이 문풀하며 답과 풀이를 맞춰볼 사람들을 구하면 도움이 될 것 같습니다. 
또한 시험에서 어떤 것을 '해석'하는 문제들이 종종 주어지는데, 풀이 연습을 하시면서 철저히 대비해가시면 좋을 것 같습니다.이 강의를 추천!",도움이 돼요 0,5.0
32,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),4,통통통,5,5,5,4,다변량통계분석은 내용이 어려웠습니다. 교수님이 여러번 설명해주시지만 이해하기가 쉽지 않습니다. 특히 시험에는 해석문제가 많이 나와서 단순계산 뿐만 아니라 전체적으로 이해를 하고 있어야 합니다. 시험은 시간이 많이 부족했습니다. 연습을 충분히 하는게 중요할 것 같아요. 교수님 친절하세요!,도움이 돼요 0,3.0
33,22-1,STAT401,다변량통계분석(영강),송주원,#화(2) 목(2),3,조쉬,5,4,3,4,"영어로 수업을 전달하시는데 다소 내용 전달이 불분명한 부분이 많았습니다.
통계 4학년 전공인만큼 학습량도 많고 내용도 절대 쉬운 편이 아닙니다. 공부 미리미리 학기 중에 하시는 걸 추천드립니다. 절대 벼락치기로 할 수 있는 수준은 아닙니다. 
선형대수 특히 많이 복습해오시는 거 추천드립니다.",도움이 돼요 0,3.0
