,Unnamed: 0,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings2,ratings3,comment,helpful,ratings4
10,10,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),3,화포월,3,3,3,4,"필자는 타과생으로, 컴퓨터 언어를 전혀 모르다가 겨울방학때 파이썬 코딩을 처음 조금 접해보았고, C언어는 전혀 안해봤었다.

인공지능 융합전공을 이번학기부터 진입하게 되어, 융합전공 전공필수인 자료구조를 수강하였다.

3월에 C언어를 생전 처음 공부를 시작하였다. C언어 코딩도장 책사서 읽어보고 조금씩 따라해보는 식으로 독학하였다.

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

강의는 과제 위주이고, 시험도 비중이 꽤 크다.

과제는 작년에는 10번 나왔고 후반과제가 어려웠다고 하는데 이번엔 뒤에 2개를 자르고 8개만 내셨다.

과제 1,2 는 C언어복습할겸 C언어코딩 이해와 배열을 쓰는 과제였고, 과제3부터 자료구조를 이용하여 연결리스트, 스택, 큐, 트리를 이용하는 과제가 과제8까지 나왔다.

필자의 체감난이도는 C언어를 전혀 모르는 상태에서 시작해서 과제1하는게 죽을맛이었다. 진심으로 열흘가량을 다른거 거의 아무것도 안하고 아침부터 밤까지 C언어공부하고 과제만 붙잡고 낑낑댔다.

체감난이도가 과제1은 극악이었는데, 어떻게든 해내고 나니 과제2부터는 C언어 코딩을 어느정도 이해하고 나니 숨통이 많이 트였다. 과제8까지 전부 소화해내서 과제 전부 만점을 받았다.

시험은 개념적으로 이해하고 외우는 식의 문제가 많이 나왔다. 시험은 평균보다 조금 높은 점수를 받았고 학점은 A 받았다.

기억나는 시험문제들은, 

계산식을 후위표기식으로 바꿔서 쓰고 계산해라. 
후위표기식 계산에서 스택에 넣고 빼는 과정을 그려라.
2-3 트리 최대 노드수 엔트리수 적어라.
손코딩 문제 조금.
최소 신장 트리 그리고 노드 순서 적어라.
등등 이었다.",도움이 돼요 9,5
11,11,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,com프,4,4,5,5,"[출석]
반영X

[수업]
수업자료PPT를 블보에 업로드 해주시고 녹강형태로 진행해서 학생입장에서는 매우 편했음

[시험]
정말 중요한 내용들만 나옴. 자료구조와 입력 데이터가 주어지면 어떻게 구현될지 그림으로 그리는 문제가 다수출제됨. 일단 수업시간에 요런거 직접 그림그리면 더 잘 이해될겁니다 라고 말씀하신 내용은 대부분 다 출제되었음.

[과제]
과제가 많다는 것을 클루평을 통해 알고 수강해서 그런지는 모르겠으나. 그렇게 빡세진 않았음. 과제설명을 PPT로 하지 않고 직접 동영상을 통해 친절하게 설명해주심. 과제를 열심히 하면 시험은 자동으로 준비가 되어서 PPT 2회독이면 충분함",도움이 돼요 2,5
12,12,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,수면중독,4,3,4,5,"*이번 학기는 온라인으로 진행되었습니다.

모든 강의는 녹화된 강의로 진행되었으며 과제 8개와 기말고사로 평가가 진행되었습니다. 
블랙보드 내에서의 출석체크는 진행되었지만 반영은 하지 않으신 것으로 알고 있습니다. 과제량이 많다고 느낄 수 있지만 그만큼 성취감이 있습니다.
코로나 19라는 특별한 상황이라서 그런지 이번 학기에는 학점을 잘 주신 것 같습니다.",도움이 돼요 1,2
13,13,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,니은,5,4,4,5,"zㅋㅋㅋㅋ셤공부가 너무 하기 싫어서 기말 공부를 세시간 남짓 (앞부분만ㅋㅋ) 했더니 기말개폭망했어요 그래서 비쁠나옴 이건 내가 못한거니까 할말  ㄴㄴ 싸강이라 학점 후하게 주시긴 하신듯 
과제가 레알 많다고 들었는데? 막 엄청나게 많은 건 아니구 .. 이번에 진도가 느려서 과제도 지난 학기에 비해 하나 덜 나갔다고 하셨어요. 다 비슷비슷한 것들이라서 초반 과제만 좀 헤매다 보면 금방 할 수 있음 배워가는건 진짜 많음 역시 코딩은 울어 뒤지든 계란으로 바위치기든 많이 하는게 답인듯 교수님 알고리즘 수업때봬요",도움이 돼요 1,5
14,14,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,10626,4,4,4,5,"C언어와 리눅스로 진행되는 자료구조 수업입니다.

Linear List, Stack, Queue, BST, AVL, Heap Multiway Tree 등을 배우고 2주에 하나꼴로 과제가 나옵니다.
이번 학기는 싸강이라 일주일에 2~3시간 정도 분량의 영상이 3~4개로 나누어져 업로드됩니다. 
영상은 보통 수업 주가 지나도 내리지 않아서 복습하기 편했습니다. 
교수님 발음이 좋으셔서 2배속으로 들어도 소리가 뭉개지지 않고 지루하지도 않아 딱 좋았습니다.

과제는 C언어로 주어진 기본 틀에 함수를 구현하기만 하면 됩니다. 
설명 영상을 20~30분 정도로 자세하게 찍어 주셔서 과제를 이해하는데 어렵지는 않았습니다.
처음 받은 과제는 매우 어렵게 해결했는데 점점 과제가 쉬워지는 건지 실력이 늘어난 건지 과제 하기가 수월해졌습니다.

시험은 기말고사 한 번이었는데 수업 시간에 잘 듣고 손으로 직접 그림을 그려보았다면 어렵지 않았을 것 같습니다. 과정과 그림을 중점으로 공부하는 게 좋은 것 같아요.
손코딩이 나오긴 했는데 사실 과제를 스스로 힘으로 풀었다면 쉽게 쓸 수 있는 수준이었습니다.

과제가 많다는 소리를 들었었는데 사실 그렇지는 않고 비슷한 유형의 과제를 꾸준히 내주시고 과제에도 오류나 이해가 어려운 점이 없어서 오히려 다른 과목에 비해서 과제 하기 편했습니다. 
C를 계속하다 보니 까먹지 않아서 좋았고요. 많이 배웠다고 느꼈습니다.

싸강하면서 들은 강의 중에 제일 깔끔했고 현장 강의는 어떤지 모르지만 추천합니다.",도움이 돼요 1,4
15,15,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),1,바닷속의구름,3,4,5,5,"과제를 위한 과제가 아니라, 자연스럽게 과제를 따라가다 보면 학업내용을 이해하게 되고 과제를 하려면 강의를 다시 봐야하는 수업이였어요. 개인적으로 이런 방향성을 좋아해서 한 학기 들은 강의 중 가장 만족스러운 강의였습니다. 시험 난이도는 매우 쉽구요. 개념적이고 원론적인 내용이 많이 나와요. 대신 시험이 쉬운 만큼 사소한 실수가 크게 작용할 순 있어요. 과제난이도는 어렵지 않아요.",도움이 돼요 1,4
16,16,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,종이컵,4,3,3,4,"들었던대로 실습이 많아서, 배워가는게 많았던 수업입니다.",도움이 돼요 0,3
17,17,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,sjco0716,4,2,5,5,"코로나 시국이라 온라인 강의를 했기에 평가를 하기 애매한 감은 있으나, 전반적으로 정말 좋은 강의 였습니다. 특히 복학 후 c를 다 잊었지만, 첫 과제 이후 바로 뇌 구석에 있던 c에 대한 것들을 끄집어 내어 어떻게 했었습니다. 과제는 학기에 10개 정도 주시고 난이도는 c에 능숙하면 쉽습니다. 시험은 손코딩이 주로 나옵니다. 성적은 온라인강의여서 그런진 몰라도 잘 주십니다.",도움이 돼요 0,5
18,18,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,훠궈,4,3,4,5,"2주~1.5주 간격으로 내주시는 과제 위주로 수업하시고 시험은 쉬운 편이었어요
개념 설명해주신 후 각 개념을 적용하는 과제가 8개(원래 10개라고 하심) 나왔습니다
과제도 설명 자세히 해주시고 힌트 따라서 하다보면 할만합니다
과제는 C로 해야 했고 개념 설명은 수도코드로 주십니다
리눅스를 다뤄볼 수 있는데 설치방법도 모두 자세히 설명해주셨어요
이도길 교수님 정말 친절하십니다
추가과제 1개 안 하고 시험은 잘 본 것 같은데 다들 잘 했는지 에제 받음",도움이 돼요 0,5
19,19,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,튽,4,4,5,5,"녹강으로 진행되었고 출첵은 하지 않으셨습니다.
교수님 딕션이 워낙 좋아서 2배속으로 들어도 전~~~혀 무리가 없었습니다
전 확장프로그램 깔아서 3배속까지 들어봤는데 그것도 괜찮았어요
이전 강의평을 보니 과제에 대한 이야기가 하도 많아서 엄청 쫄았었는데, 교수님께서 틀을 다 짜주시고 그 안에 들어가는 기능들만 구현하면 되는 정도라 생각보다는 할만했습니다
작년에는 10개였다고 하는데 이번엔 8개로 줄어서 그렇게 느낀 점도 있을 것 같습니다
(이 패턴이라면 내년엔 6개...? 깔깔 여러분 이자구 코인 타세요)
수업시간에 다루는 거의 매 코드마다 그림을 그려서 설명해주시고, 그런 그림을 그리는 시험문제도 꽤 나옵니다
수도코드를 무작정 외우기보다는 그림 위주로 시험 준비하시면 좋을 것 같아요
C 손코딩 문제도 나오는데 이건 거의 과제로 내주셨던 부분에서 나오니까 참고하세용
전체적으로 정말 만족스러웠던 수업입니다
자료구조를 마스터했다...? 이건 잘 모르겠지만 적어도 C 포인터에 대한 거부감은 많이 사라졌습니다
오조오억번의 segmentation fault와 함께 포인터와 친해질 수 있는 수업!",도움이 돼요 0,1
20,20,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,몽상이몽실몽실,5,5,5,5,과제가 처음에는 엄청 어려운데 하다보면 방식이 비슷해서 금방금방 해결할 수 있게 된다. C언어 실력 늘리고 싶으면 추천,도움이 돼요 0,5
21,21,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,dbdbb,2,2,5,5,"매주 나오는 코딩 과제가 정말 도움이 많이 됩니다. 과제만 꾸준히 잘 하면 시험 공부량도 많지 않고, 학점도 매우 잘 주십니다.",도움이 돼요 0,4
22,22,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,초코몰랑이,5,5,5,5,"정말 많이 배운 수업입니다.
첫 컴과 수업을 듣는 타과생인데 처음 과제를 받고는 멘붕이 왔습니다.
자료구조 내용은 어렵지 않으나 그걸 구현하는 과제 코딩이 어렵습니다. 포인터를 잘 다룰 줄 알아야 합니다.
과제는 이주에 한번씩 나오는데 원래 한학기에 10개가 나왔다고 합니다. 하지만 이번 학기에는 코로나 때문에 8개만 내주셨습니다.
저는 저희 학교 교수학습개발원에서 KUPT를 신청해서 도움을 많이 받았습니다.
시험은 기말 한 번이었는데 어렵지 않았고 모든 과제 내고 시험 문제를 다 풀었더니 A+를 받았습니다.",도움이 돼요 0,4
23,23,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,seong0905,4,3,4,3,"과제양이 많지만, 과제만 다 할수 있다면 따라갈 수 있는 수업입니다",도움이 돼요 0,2
24,24,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,다금바리,4,4,4,5,과제를 하면 공부가 자동을 됩니다. 공부를 따로 할 필요가 없습니다. 그러나 기말 고사를 방심했더니 성적이 그리 잘나오지는 않았네요. 과제 정말 열심히 했는데 아쉽습니다. 모두 뒷심을 잃지 말아요~ 갓도길 교수님입니다.,도움이 돼요 0,2
25,25,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,콘녹차,3,3,4,4,"출석 확인은 안 했습니다. 학기 내내 C로 프로그래밍해서 과제를 제출해야 합니다. C를 모르시는 분들은 학기 전에 미리 공부하시길 추천드립니다. 수업에서는 링크드 리스트, 트리 등 기본적인 자료구조를 배웁니다. 교재는 따로 필요 없었습니다. 중간고사는 안 봤고 기말고사만 봤는데 프로그래밍 코드를 적는 문제도 있고 자료구조를 그림으로 그리는 문제도 나옵니다. 개인적으로는 수업만 잘 듣고 과제만 스스로 작성해서 제출할 수 있으면 시험은 어렵지 않다고 생각합니다.",도움이 돼요 0,3
26,26,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,뿜뿜,4,4,4,5,"타과생이고 같은 수업듣는 사람이 없어서 혼자 공부하고 과제하고 했는데,
설명되게 잘해주시고 컴퓨터과 과목은 원래 어떤지 모르겠지만,
과제양 적당하고 많이 어려운건 아닌것 같습니다. 과제할때 성취감도 있고 정말 많이 배운 과목인것 같습니다.

과제 관련해서 끝나고 소스코드 공개를 안해주셔서 처음엔 따라가기 버거웠는데 하다보니
무리없이 할 수 있었고, 막상 까보니 과제 점수도 굉장히 후하게 주셨습니다.",도움이 돼요 0,3
27,27,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,곧군대가요,2,2,4,5,컴과의 기초 과목인 자료구조를 실습 과제와 함께 머리에 넣어둘 수 있다. 교수님 말투가 귀여우시다 ㅎㅎ,도움이 돼요 0,3
28,28,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,나도드디어쿠클루,4,4,5,3,"시험이 생각보다 많이 어려웠지만
과제를 꾸준히 잘하면 학점 비는 나와요
시험 조지고 과제 꾸준히 잘해서 비인가 비플나왔어요",도움이 돼요 0,5
29,29,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,pdpz2,4,3,5,3,"과제가 많지만 시험은 무난하고 교수님 설명도 깔끔하세요.
그리고 과제 때문에 정말 힘들었지만 나중에 지나고 나니 도움도 많이 되고 뿌듯하네요.",도움이 돼요 0,4
30,30,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,쵀채소,4,4,3,4,"약 10개정도의 프로그래밍 과제를 내주시는데 프로그래밍 지식이 없으면 따라가기 힘들 수 있습니다. 열심히만 하면 나름 재밌게 들을 수 있는 수업, 출석체크는 안하십니다.",도움이 돼요 0,2
31,31,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,꿀꿀이다,4,3,5,5,"자료구조의 갓 이도길 교수님
강의 내용이 쏙쏙 박히네요 대신 과제가 많아요
열심히 하실 분들에게 추천",도움이 돼요 0,4
32,32,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,김치볶음밥,5,3,4,5,"출석체크는 아예 안 하십니다.
개념을 배우고, 그걸 구현하는 과제가 나옵니다.
과제가 적지는 않지만, 기한을 넉넉히 주셔서 붙잡고 있으면 충분히 해낼 수 있습니다.
그에 따른 성취감도 큽니다.
강의라기보다는 교수님과 함께하는 스터디의 느낌입니다. 그림을 그려가면서 자세하게 설명해주십니다.
학점은 잘 주시는 것 같습니다!",도움이 돼요 0,3
33,33,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),3,bbuuuu,3,3,3,3,과제가 많습니다ㅜㅜ시험은 개념위주로 나옵니다,도움이 돼요 0,4
34,34,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,블서하는공머생,3,3,4,4,"교재 매 챕터마다 나눠서 수업을 하시고, 수업 때마다 매번 과제를 주십니다. 그 때문에 힘들 수는 있지만, 과제만 꾸준히 해도 어느 정도 점수를 받아 갈 수 있고, 또 과제를 통해 배운 자료 구조를 익숙하게 만들고 더 잘 이해할 수 있습니다. 학점도 후하게 주시는 편인 것 같습니다(마지막 내용을 거의 못 보고 가서 시험을 망쳤는데도 B 주시더군요;;;). 다음에 다시 수업을 듣고 싶은 교수님 중 한 분이십니다.",도움이 돼요 0,5
35,35,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,JxH,5,4,5,5,과제는 정말 많아요. 그 주에 배운 자료구조를 코드로 구현하는 프로젝트가 매주 있다고 보면 되는데 그걸 하나씩 하다보면 정말 실력이 늘었다는게 느껴집니다. 첫 온라인 수업하는 학기라 그랬을 수도 있는데 학점도 잘 받았습니다.,도움이 돼요 0,5
36,36,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,drew,5,4,4,4,------------배운것 매우 많습니다. 꿀강입니다,도움이 돼요 0,2
37,37,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,Godeakewatnu,5,5,4,4,50% 이상이 a0이상의 성적을 가져간다고 첫 오티때부터 말씀해주셨고 그에 걸맞게 학점을 잘 주셨습니다. 하지만 꽤나 오래걸리는 코딩과제를 9~11개 정도 내주시고 중간 이후에는 과제 하나가 끝나지도 않았는데 다음 과제가 나올때도 있을 정도로 학습량이 많습니다. 하지만 꾸역꾸역 이를 따라가신다면 그에 따르는 성취감도 얻을 수 있는 과목이라고 생각합니다.,도움이 돼요 0,2
38,38,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),1,뻔후사랑나라사랑,5,4,5,5,"컴과에 꽃이자 핵심 자구!
자구는 이자구입니다.

이번에는 코딩과제가 총 8회 나왔습니다. 전 코딩을 못하기 때문에 너무 힘들었지만 꾸역꾸역하다보니 익숙해집니다. 
메타 정보를 담고 있는 자료구조에 익숙해지면 코딩해지기 편합니다. 처음이 되게 낯설지 계속하다보면 괜찮아져요!

시험은 코딩 열심히 하다보면 기억나는 것들을 구현하라고 합니다! AVL rotation 이랑 뭐 이것저것 나왔던 것 같은데 코드 쓰라는 문제들이 많았던 것 같아요!

밤새 코딩하게 해서 힘들었던 기억이 많지만 성적 받으니까 미화됐어요 ! 학점은 후합니다!",도움이 돼요 0,4
39,39,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,레이니,2,3,5,5,"녹화강의 형식으로 수업을 진행하셨습니다.

출석체크는 하셨을 수도 있지만 출석 여부에 따른 점수는 따로 부여하지 않으셨다고 하셨습니다.

성적은 이번 학기의 경우 과제 8개와 기말고사로 평가하셨습니다.

과제 8개의 경우 C언어만 할 줄 아시면 충분히 가능하고 기말고사도 수업에 이용하신 ppt 위주로 공부하시면

크게 어렵지 않습니다.

자료구조 과제를 통해 실력을 기를 수 있어서 좋았던 것 같습니다.

학점도 매우 잘 주신 것 같습니다.",도움이 돼요 0,3
40,40,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,거미,5,5,4,4,일단 강의자체는 나쁘지는않습니다 수업은 c언어로 진행돼고 c언어무조건 꼭 공부해가셔야합니다 과제도 c언어 로내시는데 정말어려워요 시험은 이론시험이라 강의자료 꼼꼼히 보고가세요,도움이 돼요 0,5
41,41,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,321,3,3,4,5,기본적인 자료구조에 대해 배웁니다. 출석 점수는 없었고 시험은 기말고사 한 번 있었습니다. 과제가 자주 있었지만 과제를 하면서 많이 배울 수 있었습니다.,도움이 돼요 0,1
42,42,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,다수모리,4,3,3,3,"이번 학기에 4개의 컴과 수업을 들었는데, 제일 만족스러운 강의였다.

사실 자료구조는 컴퓨터학과에서 가장 중요한 수업이라 생각된다. 연계되는 데이터베이스에서도 직접적으로 쓰고, 그 외에도 어떤 컴퓨터학과 과목을 들고오더라도 자료구조를 안쓰는 과목은 손에 꼽을 것이라고 자신한다.

이런 과목을 차근차근 왜 이렇게 되는지 그림으로 그려주시면서, 수도 코드도 하나하나 설명해주시면서 가르쳐주시니 이해가 쏙쏙 잘됐다.

뭐 시험 과제는 적당히 쳤다",도움이 돼요 0,5
43,43,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,고고권,4,3,3,5,"강의를 열심히 듣는다면 자료구조에 대해 어느정도 이해력을 가지실 수 있습니다. 과제에 어느정도 틀이 잡혀있고, 학생들은 각 자료구조에 관한 코드만 잘짜면 되는 구조입니다. 개인적으로 이도길 교수님 강의력에 만족했습니다.",도움이 돼요 0,4
44,44,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,나방,3,1,3,3,"온라인이라 평소보단 숙제가 적었던 것 같습니다
타과생인데 하루고생해서 끝낼 수 있는 정도였습니다",도움이 돼요 0,2
45,45,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,밀크웨2,4,2,4,5,엄청 좋은 강의입니다. 과제가 꽤 있지만서도 수업만 열심히 들으면 충분히 누구나 할 수 있고 과제를 하고 나면 실력이 느는 것을 체감하실 수 있어요. 그리고 학점도 잘 주셨어요.,도움이 돼요 0,4
46,46,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,과제무슨일이야,4,3,4,4,"갓도길 소리질러~~~~
교수님 강의력 하나로 캐리하는 강의 입니다.
학습량이나 학습난이도는 적당합니다. 정말 딱 적당하구나 싶습니다.
녹강으로 진행하셨는데, 교수님께서 설명을 준비해오신건지 설명이 군더더기없이 빌드업 됩니다. 듣기 편한 강의에요.",도움이 돼요 0,5
47,47,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,철물,4,2,4,5,"과제로 시작해서 과제로 끝난다는 말을 들었는데 사실 저는 생각보다 과제가 많다고 느끼진 않았습니다.

문과대 타과생이라 노베이스로 첫 과제 3일 전에 C언어 공부를 아예 처음 시작했는데,
첫 과제를 제외하고는 나머지 과제는 반나절에서 하루 정도 시간을 투자해서 모두 해결했습니다.

다만 시험공부를 거의 하지 못해서, 간간히 들었던 수업 내용에 의존해서 시험문제를 풀었더니
학점은 B+가 나왔습니다. 생각보다 잘나와서 놀랐습니다.

교수님이 정말 친절하신 편이시고, 강의력도 좋은것 같습니다.",도움이 돼요 0,5
48,48,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,쌉고수,5,5,3,5,"C언어를 모르시면 듣기 힘듭니다. C언어를 활용하여 자료구조를 익히는 수업이기 때문에 이부분 주의하셔야합니다.
과제가 매우 많지만 성취도가 뛰어납니다.
학점은 그럭저럭주십니다.",도움이 돼요 0,1
49,49,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),5,마이마더히오스킹,3,3,3,3,"코딩과제가 학기당 10개가 준비되어있으나 이번학기에는 8개밖에 안주셨습니다. 

시험도 슈도코드를 다외워서 하는게 아니라 알고리즘을 잘 숙지하면 됩니다. 아는거 다 쓰시오 식이 아닌 세심한 문제들이 기다리고있습니다.

사랑해요 갓도길",도움이 돼요 0,3
50,50,20-1,COSE213,자료구조,이도길,#화(3-4) 목(3),4,단과즙,4,5,3,4,과제가 많고 어려워서 시간 투자를 많이 해야하는 과목. 그 덕분에 배운 것은 많았다.,도움이 돼요 0,2
